City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
506,souris,49.6172,-100.2612,-0.7,-4.08,98,3.62,CA,1675830241
507,kano,12.0001,8.5167,14.94,14.94,92,2.06,NG,1675830242
508,phonhong,18.5007,102.4166,31.91,31.91,3,0.79,LA,1675830243
509,gushi,34.6425,109.5843,9.65,9.65,100,5.37,CN,1675829795
510,soyo,-6.1349,12.3689,26.19,26.19,84,2.49,AO,1675830155
511,yaan,7.3833,8.5667,24.06,24.06,44,1.85,NG,1675829878
512,okaihau,-35.3167,173.7833,23.62,23.62,22,3.3,NZ,1675830244
513,talcahuano,-36.7167,-73.1167,15.82,15.82,0,4.12,CL,1675830244
514,kalemie,-5.9475,29.1947,20.47,20.47,100,2.56,CD,1675830245
515,dire,12.2833,-10.9667,23.93,23.93,9,0.68,ML,1675830245
516,santa ana,33.7456,-117.8678,16.47,11.43,0,2.06,US,1675830199
517,iracoubo,5.4802,-53.2011,23.96,23.96,67,4.32,GF,1675830246
518,krasnoarmeysk,51.0239,45.6969,-16.16,-16.16,81,3.97,RU,1675830247
519,elko,41.0002,-115.5012,-3.76,-7.92,100,4.02,US,1675829727
520,hirado,33.3597,129.5531,14.66,14.66,8,5.59,JP,1675830248
521,sri aman,1.2376,111.4621,32.03,32.03,40,1.03,MY,1675830248
522,grand gaube,-20.0064,57.6608,27.22,26.88,20,3.13,MU,1675829866
523,berea,41.3662,-81.8543,3.86,0.11,100,3.6,US,1675830249
524,camopi,3.1655,-52.3158,22.04,22.04,100,0.84,GF,1675830249
525,sukabumi,-6.9181,106.9267,25.26,25.26,99,1.98,ID,1675830250
526,flin flon,54.7682,-101.865,-7.05,-7.05,13,2.87,CA,1675830172
527,bilibino,68.0546,166.4372,-37.13,-37.13,100,0.97,RU,1675829830
528,segezha,63.7415,34.3222,-0.9,-0.9,100,3.52,RU,1675830251
529,asyut,27.181,31.1837,7.47,7.47,92,1.6,EG,1675829974
530,oxelosund,58.6706,17.1015,3.21,3.21,75,5.14,SE,1675830252
531,malaya vishera,58.8454,32.2222,-4.48,-4.48,100,4.71,RU,1675830027
532,meulaboh,4.1363,96.1285,28.73,28.73,69,0.52,ID,1675830044
533,lompoc,34.6391,-120.4579,10.85,8.68,75,4.47,US,1675829633
534,abaza,52.655,90.0928,-7.57,-7.57,93,1.18,RU,1675830254
535,rundu,-17.9333,19.7667,17.58,17.58,100,1.4,NA,1675829758
536,qaqortoq,60.7167,-46.0333,-25.44,-25.44,10,3.76,GL,1675830255
537,zhanakorgan,43.9098,67.2495,2.83,2.83,100,2.06,KZ,1675830255
538,coria,39.9879,-6.5377,6.92,6.92,100,6.79,ES,1675830256
539,luanda,-8.8368,13.2343,24.27,24.27,100,3.21,AO,1675829781
540,sorong,-0.8833,131.25,26.92,26.92,100,2.97,ID,1675830257
541,takoradi,4.8845,-1.7554,25.32,25.32,98,2.13,GH,1675830257
542,dongsheng,39.8161,109.9776,-2.46,-2.46,100,4.59,CN,1675830257
543,pangody,65.85,74.4859,-19.93,-19.93,86,5.88,RU,1675829994
544,bathsheba,13.2167,-59.5167,25.34,25.34,40,5.66,BB,1675830065
545,karaman,37.0833,33.25,-12.19,-12.19,99,5.73,TR,1675830259
546,siukh,42.5999,46.5446,-10.09,-10.09,100,2.75,RU,1675830260
547,shenjiamen,29.9576,122.298,9.82,9.82,94,5.37,CN,1675830260
548,tabuk,17.4189,121.4443,27.26,27.26,74,1.35,PH,1675830120
549,bereda,43.2686,-7.5406,-2.14,-2.14,29,0.67,ES,1675829815
550,hofn,64.2539,-15.2082,-0.21,-0.21,100,7.24,IS,1675829782
551,sovetskiy,61.3614,63.5842,-18.13,-18.13,100,3.22,RU,1675829967
552,aleksandriyskaya,44.2272,43.3453,-7.65,-7.98,100,3.64,RU,1675830262
553,cockburn town,21.4612,-71.1419,25.48,25.48,1,10.41,TC,1675829870
554,worthington,40.0931,-83.018,9.94,4.12,0,4.12,US,1675829895
555,maceio,-9.6658,-35.7353,22.69,22.69,20,1.03,BR,1675830068
556,kalianget,-7.05,113.9333,26.2,26.2,99,5.47,ID,1675830263
557,najran,17.4924,44.1277,16.36,16.36,10,2.41,SA,1675830264
558,son la,21.3167,103.9,27.28,27.28,33,1.0,VN,1675830264
559,babaita,44.1667,25.3833,-2.41,-2.41,27,3.5,RO,1675830264
560,kapuskasing,49.4169,-82.4331,-11.95,-12.0,75,2.57,CA,1675830265
561,batemans bay,-35.7167,150.1833,21.17,21.17,100,0.84,AU,1675829894
562,constitucion,-35.3333,-72.4167,15.73,15.73,0,4.1,CL,1675829812
563,kirovsk,48.6375,38.6428,-9.54,-9.54,6,6.31,UA,1675830266
564,tigil,57.8,158.6667,-20.37,-20.37,100,4.43,RU,1675830266
565,galle,6.0367,80.217,25.81,25.81,94,0.84,LK,1675829996
566,sistranda,63.7256,8.834,2.98,2.98,100,6.32,NO,1675830101
567,canberra,-35.2835,149.1281,24.65,20.38,100,6.17,AU,1675829999
568,pisco,-13.7,-76.2167,23.03,21.68,0,4.12,PE,1675829698
569,weinan,34.5036,109.5089,9.41,9.41,100,3.09,CN,1675830268
570,kodinsk,58.6881,99.1844,-11.05,-11.05,100,1.48,RU,1675830268
571,sisimiut,66.9395,-53.6735,-25.52,-25.52,97,3.51,GL,1675829805
572,kulhudhuffushi,6.6221,73.07,26.85,26.85,74,4.34,MV,1675829879
573,dalbandin,28.8947,64.4101,17.76,17.76,74,1.81,PK,1675829982
574,chai badan,15.2,101.1333,32.46,32.46,27,3.46,TH,1675830269
575,filingue,14.3521,3.3168,22.89,22.89,99,4.15,NE,1675829786
576,ndele,8.4109,20.6473,21.45,21.45,97,3.31,CF,1675830116
577,bilma,18.6853,12.9164,18.39,18.39,100,3.61,NE,1675830048
578,satipo,-11.2522,-74.6386,20.08,20.08,77,1.04,PE,1675830270
579,gallup,35.5281,-108.7426,-1.66,-2.58,20,1.54,US,1675830271
580,hambantota,6.1241,81.1185,28.04,28.04,89,7.43,LK,1675829844
581,nishihara,26.1842,127.7558,22.81,20.38,20,7.72,JP,1675829743
582,jiangyou,31.7667,104.7167,12.04,12.04,100,1.8,CN,1675830272
